,ismr,A,bmb,ismr <200,A <200,bmb <200,ismr <400,A <400,bmb <400
Hovde,1.348801796315185,0.011776863320566731,0.014550343431992758,1.348801796315185,100.0,100.0,1.348801796315185,100.0,100.0
Hull,0.8280915350258659,0.20266455180183096,0.1537275166139671,0.5831931314391362,31.993830810824438,22.532028873735324,0.6677021754298372,77.99532440835131,62.88875755647637
Hummer Point,1.7166618493689387,0.02827343543821933,0.04445891001812639,2.03890076866485,42.8564686484488,50.90116431591058,1.7166618493689387,100.0,100.0
Ironside,0.24337970731975936,0.07196349626859674,0.016043240468154828,0.24337970731975936,100.0,100.0,0.24337970731975936,100.0,100.0
Jackson,1.0322924203236863,0.05664777277101414,0.05356499287711853,1.136998036691401,71.42577241275075,78.67050208215215,1.0322924203236863,100.0,100.0
Jelbart,0.9280619374056283,10.612422120050248,9.021670290502964,0.8649623941849388,9.146448972698403,8.524575874570942,1.1354908278784313,58.80325388954669,71.94622767058226
Kirkby,0.51598270613906,0.011895248577831552,0.005622172177069879,0.51598270613906,100.0,100.0,0.51598270613906,100.0,100.0
Land,5.778838530553475,0.6337334976786679,3.3546150959109244,5.370489473391413,5.127201700603469,4.764899142874688,5.672740947847772,57.049442106698955,56.00203303474996
LarsenA,1.1333818181082116,0.6941656814784283,0.7206673621223895,1.1333818181082116,100.0,100.0,1.1333818181082116,100.0,100.0
LarsenB,0.36450095883103584,2.0264832801973935,0.6766080703973057,0.19073056354461823,23.29083723466186,12.187277985329619,0.327118486521708,95.2650411304688,85.49485349220359
LarsenC,0.21784059833924932,45.62403095973478,9.103909841871959,0.29631221526752727,13.710299782099789,18.649091727563206,0.18746823891259118,94.7112955585086,81.50620186891305
LarsenD,0.2772646179205817,21.644901721736225,5.497250711718078,0.23347493953868442,80.36755407861095,67.67473603411639,0.27055138656546107,96.59429199595631,94.25551601142412
LarsenD 1,0.3050117399160861,0.039345474655226455,0.010992761821092035,0.26402688831381443,90.00042445809994,77.90694228075327,0.3050117399160861,100.0,100.0
LarsenE,0.8300194430837687,1.1496641682676487,0.8740871492138531,0.23242206221161654,18.889369425989873,5.28940163082726,0.6808906492227943,60.49749819811756,49.627970968282206
LarsenF,0.3205886483937712,0.7865840665971611,0.23098764924674928,0.0421754396352052,50.7739290546132,6.6796275869842585,0.23267633921232184,90.26379931854545,65.51152230143303
LarsenG,0.1344530856569298,0.39214864301094327,0.04829664510152322,-0.01777122874917836,40.211937753213185,-5.314980617726276,0.1344530856569298,100.0,100.0
Lauritzen,1.885997951867368,0.49082174121553784,0.8479309395766632,1.2059409084761568,10.397305079484314,6.648223303128402,1.8330891582346989,67.98543458953391,66.07820699940665
Lazarev,0.39596375744724627,8.34616604017539,3.027177807240557,0.37225312071946093,51.19192525615374,48.12651050463738,0.4093023215873301,93.034976533891,96.16898306461206
Lillie,2.4840945772315015,0.7379448661553369,1.6791423537260657,1.5478773794860854,11.274324059038731,7.025204007904988,1.9230699421124757,26.849638373428053,20.785735368447394
Liotard,1.162049005785721,0.011584331502219667,0.012330789788839457,1.162049005785721,100.0,100.0,1.162049005785721,100.0,100.0
Mandible Cirque,0.17404531725733952,0.020087643750987306,0.0032024828619071875,0.17404531725733952,100.0,100.0,0.17404531725733952,100.0,100.0
Manhaul,0.09118541093401451,0.008005619982488124,0.0006686761050624197,0.09118541093401451,100.0,100.0,0.09118541093401451,100.0,100.0
Marin,0.13969676202460868,0.012215409495225123,0.00156311108841145,0.13969676202460868,100.0,100.0,0.13969676202460868,100.0,100.0
Mariner,0.7068990554625934,2.6500351833246203,1.7159495491198886,0.3756031468632771,44.025210182106115,23.39231798081148,0.725273442571323,93.63209890079509,96.06587274404946
Marret,2.6535169733142205,0.019278276609565256,0.04685819452695078,0.0,0.0,0.0,2.6535169733142205,100.0,100.0
Matusevitch,6.500389769810387,0.23973498616778735,1.4274677000204588,2.7109032452140323,6.554189198928144,2.733339599363646,3.6712680902659693,22.946400212239467,12.959590096721902
May Glacier,2.6932743041316654,0.23861195635760132,0.5886650648563269,4.6985016949193215,9.674094362034715,16.87676174948108,3.1333763700333592,66.12453747201118,76.92980357638916
McLeod,0.17875855649261096,0.01573327130788477,0.0025762104910001505,0.17875855649261096,100.0,100.0,0.17875855649261096,100.0,100.0
Mendelssohn,3.4745774517207626,0.43720357795418974,1.391493487494481,3.452172421851122,46.356340268650904,46.057421852585115,3.450263005932264,98.18150732188032,97.49445142216835
Mertz,1.3442430567891244,5.306812637638934,6.534419774313466,1.9643707260978678,4.30578762097181,6.292138250380748,1.618450623682483,75.01691575805742,90.3193611320327
Morse,1.5448701852889088,0.019259833524354213,0.02725461140822881,2.208121676225378,39.999394555767424,57.17213717731493,1.5448701852889088,100.0,100.0
Moscow University,1.225841436431749,5.67985712039,6.377745457446354,3.178201982180916,0.8170811293837744,2.1184215085510507,2.8678243034375037,20.28246757758222,47.450307783678845
Moubray,0.21351986009573076,0.13576680805924615,0.026553841434008022,0.21351986009573076,100.0,100.0,0.21351986009573076,100.0,100.0
Mulebreen,0.8608068470650367,0.2756190627892086,0.21732537521042866,0.5973513962150765,45.0606375979884,31.26954075153433,0.7570795942986454,87.31684842371166,76.79516537937742
Myers,0.23866818460027941,0.10077184684110463,0.0220307469098556,0.22529145300086356,96.15180842153913,90.76274939715555,0.23866818460027941,100.0,100.0
Nansen,0.08380620933025296,1.8590250604846905,0.14271082452615622,-0.014073463739255191,62.7722699893956,-10.541262665218607,0.027415659719995815,86.07165098756036,28.156757284109386
Nickerson,3.8741920926038746,6.347300588913294,22.52504616386819,3.230287150021324,44.52290645886821,37.123036023497605,3.7565657884184014,91.98882496065097,89.1959057537943
Ninnis,2.631321330253699,1.753647041075298,4.226798520264623,3.0082615043379834,6.680232516104997,7.637184439305254,2.2910425696212213,36.07580567887069,31.410533405172163
Nivl,0.3251839835659777,7.141814655203364,2.12732182535352,0.893596190231057,19.588462010044243,53.828527569869856,0.3550742999943165,84.74149067454499,92.53077335413731
Noll,3.821742855169031,0.10623329297708269,0.3718926368292797,3.4344272725752143,18.513720181091866,16.637442108583674,3.821742855169031,100.0,100.0
Nordenskjold,0.45518769043846813,0.21182721346086258,0.08832176430161602,0.4720699545532069,42.30634309440297,43.875425195811474,0.45518769043846813,100.0,100.0
Parker,0.13466338794441277,0.05241386607939503,0.00646533756386872,0.13466338794441277,100.0,100.0,0.13466338794441277,100.0,100.0
Paternostro,1.7909768853371588,0.003933043799917837,0.0064522953297590675,1.7909768853371588,100.0,100.0,1.7909768853371588,100.0,100.0
Perkins,0.2289964021702673,0.004050322596987509,0.000849598520942591,0.2289964021702673,100.0,100.0,0.2289964021702673,100.0,100.0
Philbin Inlet,0.5507676949668744,0.08063867786960802,0.04068247172164501,0.526394784053677,79.99593418516268,76.45590488582215,0.5507676949668744,100.0,100.0
Pine Island,6.995968424895628,5.688085712174944,36.45099992507589,2.6561492198928316,8.380723242038162,3.181897079789847,3.4943817039666163,51.13166488498426,25.539502670083486
Porter,2.1969317334857816,0.05418630831434298,0.10904395615470165,1.4989531369740696,14.286938591553636,9.747891157995248,2.1969317334857816,100.0,100.0
PourquoiPas,4.994681084181634,0.18479612616048263,0.845465907639646,3.3014229121249627,2.082333723951521,1.3763970413879676,2.994456225810887,8.331199569907225,4.9947958638622945
Prince Harald,1.2406989894454017,5.0564147607718,5.746515634458254,1.6762684845794371,32.20145212231194,43.50634586593291,1.2206449863970215,93.31177940448643,91.8035370954765
Publications,0.6537342635103001,1.4886581106190446,0.8914391212247854,0.6732130099058278,31.997304695854506,32.95070031591004,0.6158566482865826,86.5027063392597,81.49070618963465
Quar,1.0261869878034888,2.112263078026181,1.9855004271072023,1.919098430812729,5.83228693109002,10.907108383299647,1.0175703644757814,84.91440956467554,84.201405510824
Quatermain Point,0.11280793182235464,0.01198590993320913,0.0012385288308860943,0.11280793182235464,100.0,100.0,0.11280793182235464,100.0,100.0
Rayner Thyer,0.2898711855996325,0.6146339742906809,0.16319884581510755,0.18542676895500973,77.83892627249729,49.79253307906119,0.2831433923544207,97.46496342132347,95.2028409506324
Rennick,0.2531929371234695,3.2082634745874197,0.7440756414122114,0.6982320165140093,26.2758571596172,72.46112367363095,0.36652355787444735,59.75507062496026,86.50178529987573
Richter,5.4370163467648345,0.0940173449775226,0.4682352388343524,8.06512742092309,4.347028981434999,6.44826875655432,5.4370163467648345,100.0,100.0
Riiser-Larsen,0.7854089420762901,42.85137000983436,30.828757854324266,0.5456888791666514,21.100838457261773,14.660506483132643,0.8227988217896989,91.16701657501507,95.50707893101456
Ronne,0.2789158050380406,332.37580573168515,84.91765673463125,0.23732895935769063,0.8479937536381512,0.7215563673966641,0.530260700618394,33.545964458726765,63.77590045274798
Rose Point,0.4028681832118497,0.012141626667449225,0.004480591170304661,0.4028681832118497,100.0,100.0,0.4028681832118497,100.0,100.0
Ross East,0.14534510333310754,188.7537727469319,25.129943929645776,0.29390473724972344,9.50275479926031,19.215677641538683,0.1339396757105814,92.08478092375755,84.8587631228336
Ross West,0.1479781238078071,301.6484532704186,40.887832902666894,0.35340011936120724,0.8201715398998008,1.9587268214976699,0.08713451035251726,65.26135265796775,38.42808560122349
Rund Bay,1.8058036916938867,0.08128051494966496,0.13444741502633875,1.8058036916938867,100.0,100.0,1.8058036916938867,100.0,100.0
Rydberg Peninsula 1,0.5788055040056861,0.0040128171468637895,0.00212753883647461,0.5788055040056861,100.0,100.0,0.5788055040056861,100.0,100.0
Sandford,2.390396463921022,0.01931689998391843,0.042296345264574785,0.0,0.0,0.0,2.390396463921022,100.0,100.0
Shackleton,0.739079781509494,25.263049846924208,17.103010974793452,0.5962676139214254,44.23555452934846,35.68793141091617,0.5973531315127163,90.10619116495843,72.8273412528469
Shirase,1.7186316791307898,0.6512521453305816,1.0252445123493963,1.7761313239634269,36.34873421711643,37.56484080526984,1.6812784015005142,93.93680492789971,91.89515307382273
Skallen,0.4855646412594127,0.03151486246008432,0.014017092642449847,0.4855646412594127,100.0,100.0,0.4855646412594127,100.0,100.0
Slava,0.7397243331902909,0.25861023564250346,0.17523106025102075,0.3493179735344392,34.865961985669834,16.464656683167274,0.7417468916972283,96.97151425755528,97.23665432702731
SmithInlet,1.6259110062182993,0.09135621205069208,0.1360599567242239,1.225253608640939,34.779819373093474,26.209367567957365,1.6606294220548123,95.65158245905188,97.69405059078431
Sorsdal,1.2799131014353662,0.12908886755130183,0.15134384007078322,1.2799131014353662,100.0,100.0,1.2799131014353662,100.0,100.0
Stange,2.048213934006034,7.797918745130047,14.630174140300317,1.9474699813265781,61.17863784947255,58.16949037021201,2.058965339741011,93.60121588106016,94.09254378021966
Sulzberger,3.8648699714065993,11.963173106292514,42.35227538714395,2.091054092174497,20.008423776985882,10.825382671697232,2.73464394973529,76.1924914193035,53.91108555179292
Suter,0.20389520266336877,0.0362316907180634,0.006766920616365166,0.20389520266336877,100.0,100.0,0.20389520266336877,100.0,100.0
Suvorov,0.9346909368420345,0.20132867523621067,0.17237296067184474,0.7328920335199236,15.691947412977667,12.30407057143481,0.9335734921174593,94.11728776380566,94.00476836027073
Swinburne,8.314045501870806,0.8222666746949006,6.262108094046231,4.513699873218751,33.329293117262715,18.094491554563668,7.48055351186095,83.07972927567538,74.75089719652918
Telen,0.5857679808423998,0.01969294116499531,0.010566512854889812,0.5857679808423998,100.0,100.0,0.5857679808423998,100.0,100.0
Thomson,1.4955593529850413,0.0642953120176115,0.08808022900078384,1.4138965226686893,68.74682426472577,64.9930045092523,1.4955593529850413,100.0,100.0
Thwaites,8.352289712951434,4.092004158854735,31.306685485082888,4.657229504645102,7.6188918112959785,4.248287470350222,6.5677568166213804,83.25370652848385,65.46589227066323
Tinker,0.11586590095460159,0.10090209360626091,0.01070905857724779,0.11586590095460159,100.0,100.0,0.11586590095460159,100.0,100.0
Totten,1.2392165209980437,5.916827517626243,6.716323057152266,1.937491336313658,2.3482866002986524,3.671501199480277,1.4993670759892415,22.39096931937058,27.091538587551227
Tracy Tremenchus,0.8481043257125028,2.730981108902964,2.121599712980153,0.8448825942193812,99.57833076141041,99.20005814267697,0.8481043257125028,100.0,100.0
Tucker,1.0292958139186763,0.41277800788217905,0.3891815388411886,0.46828052794295566,23.306215263540555,10.603216918188343,0.6718297628307675,61.16860791667139,39.925248692979174
Underwood,2.6599059476287157,0.14277432667906684,0.347865913123339,2.4034735511679353,43.22950114212688,39.061893416913044,2.6812393880534873,64.85095015003817,65.3710790225455
Utsikkar,1.044486937554583,0.08931299112891655,0.0854502073706828,1.044486937554583,100.0,100.0,1.044486937554583,100.0,100.0
Venable,4.831692299790515,3.1339502178650633,13.87033135219628,6.771827474679711,3.9675225658237765,5.560655904934596,4.769285080245942,93.59527305759896,92.38637555510401
Verdi,4.828701252232768,0.09953754300074057,0.44026354561517356,0.0,0.0,0.0,4.828701252232768,100.0,100.0
Vigrid,0.8239315492749856,2.013369110108174,1.5195325504209058,1.5296079839520687,8.436174410707999,15.661543418243824,1.0411129146558449,64.0204216630573,80.89566160413722
Vincennes Bay,1.9274382325813055,0.9070001725411082,1.601339117514433,1.6056080499146768,18.71533512442053,15.590379097324938,1.6664344522667331,71.48213155104986,61.802388644434735
